id,text
1,This coffee machine is amazing! Brews so fast and tastes great.
2,asdfjkl;qweruiop test test test
3,BUY CHEAP ROLEX WATCHES HERE http://spam-link.xyz
4,Terrible product. It broke after two days of use. I want a refund.
5,01010101010101 hello world
6,EARN $5000 A WEEK FROM HOME. CLICK THIS LINK NOW!!!
7,Fast shipping but the color is slightly different than the picture.
8,"jsdfksjdfkwejlkdfxcnv,cxzxc"
9,Follow me on Instagram @fake_account for free gift cards!!!
10,Five stars. My husband loved it as a birthday gift.
